jobNm
3D프린팅모델러
IT기술지원전문가
IT테스터 및 IT QA전문가
UX·UI디자이너
가구제조·수리원
가구조립원
가사관리사
가상현실전문가
가수
가스·에너지시험원 및 진단전문가
가전제품설치·수리원
가정의학과의사
가축사육종사원
간판제작·설치원
간호사
간호조무사
감사사무원
감정평가사
개그맨 및 코미디언
건물도장공
건설 및 채굴기계운전원
건설·광업기계설치·정비원
건설·채굴관리자
건설·채굴단순종사원
건설기계공학기술자 및 연구원
건설배관공
건설자재시험원
건축가(건축설계사)
건축감리기술자
건축구조기술자
건축목공
건축석공
건축설비기술자
건축시공기술자 및 견적원
건축안전·환경기술자 및 건축품질기술자
검사
검표원
게임그래픽디자이너
게임프로그래머
경기심판 및 경기기록원
경량철골공
경리사무원
경비·청소관리자
경비원
경영·진단전문가
경영기획사무원
경영지원관리자
경제학연구원
경찰·소방·교도관리자
경찰관
경호원
계기검침원 및 가스점검원
고객상담원
고무 및 플라스틱화학공학기술자 및 연구원
고무·플라스틱 제품 조립원
곡물가공제품기계조작원
곡식작물재배원
공업기계설치 및 정비원
공업배관공
공연·영화 및 음반기획자
공예원
과수작물재배원
과실·채소기계조작원
관세사
관세행정사무원
광고·홍보·마케팅사무원
광고·홍보·마케팅전문가
광고영상감독
광석·석제품생산기계조작원
광원·채석원 및 석재절단원
교도관
교육학연구원
교재·교구 및 이러닝교육전문가
교통계획·설계가
교통영향평가원
국악인
귀금속·보석세공원
금속·재료공학시험원
금속가공기계조작원
금속가공제어장치조작원
금속공작기계조작원
금융관리자
금융상품개발자
금형원
기계‧로봇공학시험원
기록물관리사
기술·기능계강사
기술영업원
기업고위임원
김치·밑반찬 제조종사원
낙농종사원
내과의사
내선전기공
냉·난방설비조작원
냉동·냉장·공조기설치·정비원
네일아티스트
네트워크관리자
네트워크시스템개발자
노무사
노점 및 이동판매원
놀이치료사
농림어업시험원
농업용 및 기타기계장비설치 및 정비원
농학연구원
단열공
단조원(단조기조작원)
대기환경기술자 및 연구원
대중무용수
대학교 총장 및 대학학장
대학교수
대학시간강사
데이터베이스운영·관리자
데이터분석가(빅데이터분석가)
도금·금속분무기조작원
도로운송사무원
도료 및 농약품화학공학기술자 및 연구원
도배공
도시계획·설계가
도장원(도장기조작원)
디스플레이연구 및 개발자
떡제조원
레크리에이션전문가
로봇공학기술자
리포터
마취병리과의사
마케팅·광고·홍보관리자
만화가
만화영화작가(애니메이터)
매장계산원 및 요금정산원
매표원 및 복권판매원
메이크업아티스트 및 뷰티매니저
모델
모바일앱개발자
목재가공기계조작원
무역사무원
무용가
문리학원강사
문화재보존원
물류사무원
물리치료사
물리학연구원
미디어콘텐츠창작자(크리에이터)
미용사
미장공
바텐터
반도체공학기술자 및 연구원
반려동물미용사
발전·배전장치조작원
발전설비기술자
방문판매원
방사선과의사
방사선사
방송·통신·인터넷케이블 설치·수리원
방송기자
방송송출장비기사
방송연출가
방송작가
방송장비설치·수리원
방수공
방역원
버스운전원
번역가
법률사무원
법무사 및 집행관
법원공무원
변리사
변호사
병무행정사무원
보건·의료관리자
보건교사
보건위생·환경검사원
보건의료정보관리사
보육교사
보일러설치·정비원
보조교사
보험관리자
보험대리인 및 중개인
보험모집인
보험보상사무원
보험상품개발자
보험인수심사원(언더라이터)
부동산중개인
부사관
분장사
비뇨기과의사
